LOANID,ORIG_CHN,ORIG_RT,ORIG_AMT,ORIG_TRM,OLTV,NUM_BO,DTI,CSCORE_B,FTHB_FLG,PURPOSE,PROP_TYP,NUM_UNIT,OCC_STAT,STATE,VinYr,RELOCATION_FLG,LAST_UPB_LOANAMT_PERCENT1,LAST_UPB_ORIG_VAL_PERCENT,Zero.Bal.Code,MOD_FLAG,FCC_FLC
265508,R,6.875,88000,180,77,2,44,781,N,P,SF,1,I,IA,2008,N,100,77,1,N,Not Foreclosed
179230,B,6.875,324000,360,80,2,50,788,N,R,SF,1,S,MI,2007,N,99.31426543,79.45141235,9,N,Foreclosed
2924,R,5.75,101000,180,56,2,33,633,N,R,SF,1,P,TX,2005,N,69.23056436,38.76911604,1,N,Not Foreclosed
117125,R,6.375,150000,240,38,1,42,621,N,C,SF,1,P,CA,2006,N,97.77246,37.1535348,1,N,Not Foreclosed
216996,R,5.99,185000,360,28,1,34,693,N,R,SF,1,P,CA,2008,N,98.34907027,27.53773968,1,N,Not Foreclosed
133941,C,6.75,174000,360,54,1,30,644,N,C,PU,1,P,MD,2006,N,94.58462069,51.07569518,1,N,Not Foreclosed
186765,C,6.875,221000,360,89,2,26,679,N,C,SF,1,P,AR,2007,N,91.22765158,81.19260992,9,N,Not Foreclosed
60266,C,5.25,239000,360,90,2,53,680,N,P,PU,1,P,OH,2006,N,93.43716736,84.09345061,9,N,Foreclosed
74811,C,6.625,125000,360,75,3,51,806,N,P,SF,1,I,NM,2006,N,88.694792,66.52109399,1,N,Not Foreclosed
27245,C,5.375,86000,180,64,1,34,796,N,P,SF,1,P,NE,2005,N,22.56965116,14.44457674,1,N,Not Foreclosed
112438,C,6.5,177000,360,50,2,33,654,N,C,SF,1,P,FL,2006,N,98.20838418,49.10419209,1,N,Not Foreclosed
132146,C,6,205000,360,47,2,60,675,N,P,SF,1,P,OR,2005,N,88.46178537,41.57703912,1,N,Not Foreclosed
162004,C,6.25,272000,360,89,1,54,802,Y,P,CO,1,P,MA,2007,N,92.28150368,82.13053828,1,N,Not Foreclosed
138971,R,6.375,300000,360,77,2,23,804,Y,P,CO,1,P,NY,2006,N,96.11142333,74.00579597,1,N,Not Foreclosed
89538,C,6.125,328000,360,80,1,40,707,Y,P,SF,1,P,OR,2006,N,96.1573628,76.92589024,1,N,Not Foreclosed
40186,C,5.75,202000,360,80,1,35,738,N,P,SF,1,P,MA,2005,N,1.618485149,1.294788119,1,N,Not Foreclosed
56583,R,6.125,348000,360,59,2,36,696,N,C,PU,1,P,MD,2006,N,97.74316954,57.66847003,1,N,Not Foreclosed
262029,B,6,346000,360,80,1,30,792,Y,P,SF,1,P,MA,2008,N,99.33853468,79.47082775,1,N,Not Foreclosed
114760,C,6.375,205000,180,63,2,53,750,N,C,SF,1,P,ID,2006,N,77.45224878,48.79491673,1,N,Not Foreclosed
